"color href","company","status","industry","headquarters","fund","cols","cols 2","cols 3","cols 4","cols 5","cols 6","cols 7","cols 8","company-profile","company-profile 2","company-profile 3","company-profile 4","title 2","company 2","description","p1","company 3","description 2","company 4","description 3","company 5","description 4","company-profile 6","bg src","case-study src","vidyard-lightbox-image src","blue","title 3","blue 2","color src"
"https://www.allvuesystems.com/","Allvue Systems","Current","Financial Services","Miami, FL","Flagship","Website","allvuesystems.com","Year of Investment","2019","Status","Current","Headquarters","Miami, FL","Adaptable software for alternative investment management.","","","","","","","","","","","","","","","","","","","","",""
"https://www.applause.com/","Applause","Current","Application Development","Framingham, MA","Flagship","Website","applause.com","Year of Investment","2017","Status","Current","Headquarters","Framingham, MA","SaaS-based platform that helps clients optimize the quality and end-user experience on desktop, mobile and device apps.","Applause is a leading provider of customer-driven digital testing and user feedback software for digital experiences across Web, mobile and IoT. The Company’s technology platform and managed global community of over 300,000 on-demand DX experts deliver authentic, real-world human input at every phase of software development. Applause provides insight into market requirements, user feedback and software quality for the world’s leading digital brands at every customer touchpoint.","Applause was founded in 2007 and is headquartered in Framingham, MA, with operations worldwide.","Vista Equity Partners Fund VI acquired Applause in September 2017.","","","","","","","","","","","Learn more about the partnership .","","","","","","",""
"http://www.appliedsystems.com/","Applied Systems","Former","Insurance","University Park, IL","Flagship","Website","appliedsystems.com","Year of Investment","2004","Status","Former","Headquarters","University Park, IL","Applied Systems, Inc. was the leading provider of automation solutions for the property and casualty insurance industry. Since 1983, the Company had developed software for independent insurance agents, brokers, managing general agents and insurance companies, as well as banks and other financial institutions with insurance operations. Nearly 120,000 users comprising 10,000 agencies conducted business using Applied Systems’ agency management systems, and related products and services. Nearly 300 of the largest brokers and other financial institutions with insurance operations used Applied Systems products to automate their affiliated insurance agencies.","Applied Systems led the industry in agency/carrier real-time and batch communication solutions. The Company’s software products were used in approximately 50 percent of interface transactions based upon ACORD standards. Applied Systems automated insurance transactions at every distribution level from consumer through carrier, also providing technical support and professional services to maximize customers’ return on investment.","The Company was headquartered in University Park, IL, with operations in Canada.","Vista Equity Fund II completed a management buyout of Applied Systems in September of 2004.","","","","Automation solutions for the property and casualty insurance industry.","","","","","","",".","","","","","","",""
"http://www.apptio.com/","Apptio","Former","IT Operations","Bellevue, WA","Flagship","Website","apptio.com","Year of Investment","2019","Status","Former","Headquarters","Bellevue, WA","Leading provider of technology business management solutions for large enterprises, mid-market customers and the public sector.","Apptio develops SaaS solutions that enable businesses to assess and communicate the cost of IT services for planning, budgeting and forecasting. The Company’s cloud-based applications allow IT leaders to manage, plan and optimize technology investments across on-premises and cloud. With Apptio, IT leaders become strategic partners and are able to better demonstrate the value of IT investments to accelerate innovation and shift technology investments to focus on digital innovation.","Apptio was founded in 2007 and is based in Bellevue, WA.","Vista Equity Partners Fund VI completed a take-private of Apptio in January 2019. Learn more about the partnership .","Add-on Acquisitions","Cloudwiry, 2022","Cloudwiry is a leading provider of multi-cloud savings automation services. Cloudwiry’s solution automates cloud commitment management and optimization on behalf of its enterprise customers, maximizing savings, reducing risk and increasing flexibility.

Apptio acquired Cloudwiry in December 2022.","","Targetprocess, 2021","Targetprocess is a leading provider of Agile portfolio and work management software solutions to enterprises. The company’s product suite enables program and portfolio-level Agile management across the IT organization, helping enterprise IT departments to connect the cost of IT to their digital and agile transformation work. Targetprocess serves over 800 customers globally. 

Apptio acquired TargetProcess in February 2021.","7Park Data, 2021","7Park Data provides data products and analytics software powered by machine learning to transform raw data into meaningful insight and inform key client decisions. 7Park Data’s natural language processing and other algorithms automate the complex tasks of entity recognition and resolution, creating organized inputs to develop predictive models. The Company’s data products provide leading performance indicators derived from multiple sources including consumer spending, business spending, mobile app engagement and downloads, web traffic, shipping and more. 7Park Data was founded in 2012 and is based in New York, NY.

Vista Equity Partners Fund VI acquired 7Park Data in December 2018. 7Park Data was merged into Apptio in January 2021.","SaaSLicense, 2020","SaaSLicense is a leading SaaS usage and spend optimization platform that connects customers’ single sign-on, financial and SaaS systems and automatically detects all software usage and spend across an organization, helping customers reduce their SaaS costs while increasing visibility, forecasting and compliance. 
 
Apptio acquired SaaSLicense in October 2020.","IBM acquired Apptio in August 2023.","","","","","","",""
"http://www.aptean.com/","Aptean","Former","Enterprise Resource Planning","Alpharetta, GA","Foundation","Website","aptean.com","Year of Investment","2012","Status","Former","Headquarters","Alpharetta, GA","Aptean, Inc. is a leading global provider of mission critical, vertical-market enterprise resourcing planning software designed for the manufacturing end-market. The Company supports over 2,500 global clients by providing financial management and accounting, inventory management, sales and pricing, supply chain and PLM, and quality management solutions.","Aptean has over 1,000 employees and is headquartered in Alpharetta, GA, with operations worldwide.","Vista Equity Partners Fund IV completed a buyout of CDC Software in April 2012 and subsequently acquired Consona in August 2012 and combined the two businesses to form Aptean.","In April 2019, Aptean received a joint investment from Vista Foundation Fund III and TA Associates.","Add-on Acquisitions","Merlin Business Software, 2022","Merlin Business Software is an enterprise resource planning (ERP) solution for wholesalers and distributors in the industrial supply, building supply, and food and beverage industries. With over 40 configurable modules, the ERP solution provides start-to-finish process functionality for businesses to help lower costs and increase efficiency. 

Aptean acquired Merlin in October 2022.","Industry-specific software applications to enhance processes and help businesses manage their resources, supply chain, employees and customer relationships.","Produce Pro, 2022","Produce Pro is an all-in-one ERP software providing innovative business and technology solutions to fresh produce businesses and the perishables industry. The Company provides an end-to-end solution that includes purchasing, manufacturing, inventory management, routing and logistics, accounting, e-commerce, EDI, document imaging, analytics and warehouse management for food producers and distributors.

Aptean acquired Produce Pro in July 2022.","JET ERP, 2022","JET ERP is a leading developer of ERP and business management solutions in Austria. The Company's portfolio includes its modular, highly integrated cross-process software for document management and business intelligence applications encompassing financial accounting, controlling, purchase, transport, planning and warehouse management.

Aptean acquired JET ERP in January 2022.","Systems Integration (Trading) Limited, 2021","Systems Integration (Trading) Limited (“SI”) is the leading provider of integrated enterprise resource planning (“ERP”) and manufacturing execution system (“MES”) solutions to the UK food processing industry. SI’s fully integrated and modular food planning, ERP, MES and specialist sector software solutions are designed for the food production and processing industry, particularly perishable food and protein processing. SI serves more than 150 food processors worldwide and has long-term partnerships with leading food manufacturers across the UK, Republic of Ireland, U.S. and Canada. 

Aptean acquired SI in December 2021.","In March 2023, Vista fully exited its stake in Aptean following a strategic investment from Insight Partners and existing investor TA Associates.","https://www.vistaequitypartners.com/wp-content/uploads/2022/10/Vista-Insights-Aptean.jpg","","","Article","Vista Equity Partners Exits Aptean","Read More",""
"https://www.arcos-inc.com/","ARCOS","Current","Enterprise Resource Planning","Columbus, OH","Foundation","Website","arcos-inc.com","Year of Investment","2021","Status","Current","Headquarters","Columbus, OH","SaaS solutions for utility and critical infrastructure resource management.","ARCOS is a leading provider of SaaS solutions for managing resources, ensuring accurate, compliant shift scheduling and automatically planning for all types of events. The ARCOS solution reports on the up-to-the-minute location and status of equipment and crews via mobile technology for utilities and other critical infrastructure like airlines, manufacturers and industrial facilities.","ARCOS was founded in 2005 and is based in Columbus, OH.","Vista Foundation Fund IV acquired ARCOS in April 2021.","Add-on Acquisitions","Clearion, 2024","Clearion is a leader in vegetation management, asset management and field operations software. The company provides integrated solutions to utilities and other infrastructure companies, helping them optimize field workflows, improve safety and mitigate wildfire and other climate-related risks.
 
ARCOS acquired Clearion in October 2024.","","TextPower, 2024","TextPower enables utilities to alert, respond to and connect with customers and employees through advanced communications solutions. The company's software helps hundreds of utilities enhance their revenues, decrease costs and improve customer service through timely, automated outgoing messages and replies for a variety of use cases including outage notifications, emergency alerts and billing information. 

ARCOS acquired TextPower in June 2024.","Treverity, 2022","Treverity is an analytics and collaboration solutions platform for utility operations. Treverity’s all-in-one user interface connects employees with operations software in an accessible and timely manner, aggregating systems analytics that empower users to make informed decisions and solve challenging problems across blue- and gray-sky operations. 

ARCOS acquired Treverity in December 2022.","","","","","","","","","",""
"http://www.aspect.com/","Aspect","Former","Sales & Marketing","San Jose, CA","Flagship","Website","aspect.com","Year of Investment","2003","Status","Former","Headquarters","San Jose, CA","Aspect Communications Corporation was a leading provider of contact center software solutions and services that enable businesses to manage and optimize customer communications. Aspect’s global customer base included more than two-thirds of the Fortune 50 and leading corporations in a range of industries, including transportation, financial services, insurance, telecommunications, retail and outsourcing, as well as large government agencies.","Aspect’s leadership in business communications solutions was based on two decades of experience and over 8,000 implementations deployed worldwide. The Company was headquartered in San Jose, CA, with offices around the world.","Vista Equity Fund II invested $50 million in Aspect in January of 2003 in exchange for convertible preferred stock representing an approximately 30% stake in the Company.","","","","","Contact center software solutions and services that enable businesses to manage and optimize customer communications.","","","","","","","","","","","","","",""
"https://aspiraconnect.com/","Aspira","Former","Government","Dallas, TX","Flagship","Website","aspiraconnect.com","Year of Investment","2013","Status","Former","Headquarters","Dallas, TX","Cloud-based software for campground management, hunting and fishing licensing, and recreational vehicle licensing.","Aspira is a leading provider of cloud-based reservation and licensing technologies to public and private campgrounds as well as federal, state, provincial and government park and conservation agencies, conveniently connecting them with outdoor adventure seekers from around the world. Aspira also manages ReserveAmerica®, the leading online marketplace for outdoor recreation activities, which guides more than 17 million annual unique visitors in discovering, booking and navigating park and campground destinations.","Aspira is based in Dallas, TX, with operations worldwide.","Vista Equity Partners Fund IV and Vista Equity Partners Fund III acquired The ACTIVE Network in November 2013. Global Payments acquired the Communities and Sports divisions of The ACTIVE Network from Vista in August 2017. The remaining Outdoors division of The ACTIVE Network was retained by Vista and subsequently rebranded “Aspira.”","Add-on Acquisitions","Mission Management, 2018","Mission Management is a leading provider of property management, reservation and registration software for private RV parks and campgrounds across North America. The Company’s products provide integrated online bookings and allow campgrounds to manage front desk operations, housekeeping and camp store sales.

Aspira acquired Mission Management in November 2018.","","","","","","","","Alpine Investors acquired Aspira in April 2021.","https://www.vistaequitypartners.com/wp-content/uploads/2017/12/Vista_Company_Aspira_Thumbnail-804x700.png","https://play.vidyard.com/embed/v4.js","https://play.vidyard.com/nwkRtK6f8FJKU8a7pAFd5X.jpg","Video","Steve Wade, Aspira: Pushing the Boundaries of Success","Watch Video",""
"https://www.assentcompliance.com/","Assent Compliance","Current","Legal, Risk & Compliance","Ottawa, Canada","Foundation","Website","assentcompliance.com","Year of Investment","2021","Status","Current","Headquarters","Ottawa, Canada","Supply chain compliance and sustainability management solutions.","Assent Compliance is a leader in supply chain compliance and sustainability management, dedicated to helping complex manufacturers bring responsible products to the world. Shaped by regulatory experts and customers, Assent provides the missing foundation for cross-enterprise sustainability and helps customers ensure all products are in compliance with global regulatory standards. The Company reveals what’s hidden, validates what’s good and helps eliminate unwanted surprises so the world’s forward-thinking complex manufacturing companies can thrive today and in the future.","Assent was founded in 2010 and is based in Ottawa, Canada.","Vista Foundation Fund IV made a minority investment in Assent in December 2021.","","","","","","","","","","","","","","","","","",""
"https://www.avalara.com/us/en/index.html","Avalara","Current","Legal, Risk & Compliance","Seattle, WA","Flagship","Website","avalara.com","Year of Investment","2022","Status","Current","Headquarters","Seattle, WA","SaaS solution for indirect tax compliance to streamline registration, calculations and returns.","Avalara is a leading SaaS provider of tax automation solutions for businesses of all sizes. With over 1,200 signed partner integrations and over 3,500 resellers, software integrators and accountant partners, Avalara’s cloud-based compliance tools streamline sales and use tax registrations, calculations and returns to ensure accuracy and compliance. More than 30,000 small, midsize and enterprise organizations trust Avalara’s scalable software to grow alongside their business.","Avalara was founded in 2004 and is based in Seattle, WA.","Vista Equity Partners Funds VII and VIII completed a take-private of Avalara in October 2022.","","","","","","","","","","","","","","","","","","https://www.vistaequitypartners.com/wp-content/uploads/2022/11/avalara-logo-color-1.png"
"https://www.benchmarkgensuite.com/","Benchmark Gensuite","Current","Legal, Risk & Compliance","Mason, OH","Endeavor","Website","benchmarkgensuite.com","Year of Investment","2023","Status","Current","Headquarters","Mason, OH","Integrated software for environment, health and safety (EHS), and ESG reporting and management.","Benchmark Gensuite provides cloud-based solutions for environmental, health and safety, sustainability, and ESG reporting and management. In one unified platform, Benchmark Gensuite applies embedded AI, integrated analytics and mobile technology to enable operational accountability and streamline business processes. Over 400 organizations spanning 35 industries, including approximately 20% of the Fortune 500, use Benchmark Gensuite to better manage their compliance, risk management and sustainability practices.","Benchmark Gensuite was incorporated in 2020 and is based in Mason, OH.","Vista Equity Endeavor Fund II made a minority investment in Benchmark Gensuite in April 2023.","Add-on Acquisitions","Anvl, 2024","Anvl is a connected workers platform software that transforms static, paper-based procedures into mobile and interactive work instructions for frontline workers and supervisors. Their solution improves workplace safety, quality and operations by ensuring field employees are documenting company procedures, enabling real-time notifications based on non-compliance and unsafe work conditions and providing management with visibility to monitor, audit and take corrective actions related to workflows and documentation.

Benchmark Gensuite acquired Anvl in September 2024.","","","","","","","","","","","","","","",""
